,customer_id,customer_name,income_level,visit_frequency,made_purchase,
,1,Dane,low,Rare,yes,
,2,Bobby,low,Rare,yes,
,3,Ava,high,Occasional,yes,
,4,Steve,high,Frequent,no,
,5,Lizzy,medium,Occasional,no,
,6,Simon,low,Occasional,no,
,7,Martha,medium,Frequent,yes,
,8,Juliet,high,Rare,yes,
,9,Brian,low,Occasional,no,
,10,Paul,low,Rare,yes,
,11,Gina,high,Occasional,yes,
,12,Trina,medium,Rare,no,
,13,Craig,medium,Occasional,yes,
,14,Braden,low,Occasional,yes,
,15,Izzy,medium,Frequent,no,
,16,Drew,high,Frequent,no,
,17,Conor,high,Occasional,yes,
,18,Faith,medium,Rare,no,
,19,Tammy,low,Rare,no
,20,Zach,medium,Occasional,yes
